,CHD
2021-02-04,78.61825561523438
2021-02-05,79.29762268066406
2021-02-08,78.7809066772461
2021-02-09,79.37419891357422
2021-02-10,79.65167236328125
2021-02-11,79.15409088134766
2021-02-12,79.60808563232422
2021-02-16,78.38911437988281
2021-02-17,79.4353256225586
2021-02-18,80.19361114501953
2021-02-19,78.17794799804688
2021-02-22,77.28530883789062
2021-02-23,77.77482604980469
2021-02-24,76.35429382324219
2021-02-25,76.20071411132812
2021-02-26,75.58641052246094
2021-03-01,75.52883911132812
2021-03-02,76.03755187988281
2021-03-03,75.2792739868164
2021-03-04,74.78975677490234
2021-03-05,76.74781036376953
2021-03-08,77.58285522460938
2021-03-09,77.17972564697266
2021-03-10,77.89000701904297
2021-03-11,78.2259521484375
2021-03-12,79.5697021484375
2021-03-15,79.5697021484375
2021-03-16,80.04961395263672
2021-03-17,78.85944366455078
2021-03-18,78.95541381835938
2021-03-19,79.7520523071289
2021-03-22,81.11502838134766
2021-03-23,82.26680755615234
2021-03-24,81.17261505126953
2021-03-25,82.54515838623047
2021-03-26,83.8409423828125
2021-03-29,85.02152252197266
2021-03-30,84.38802337646484
2021-03-31,83.8409423828125
2021-04-01,83.05387878417969
2021-04-05,83.95612335205078
2021-04-06,84.66637420654297
2021-04-07,84.3304443359375
2021-04-08,83.80253601074219
2021-04-09,83.30342864990234
2021-04-12,83.89852905273438
2021-04-13,83.29383087158203
2021-04-14,83.3994140625
2021-04-15,84.11930084228516
2021-04-16,84.40724182128906
2021-04-19,83.83132934570312
2021-04-20,85.58780670166016
2021-04-21,86.2789077758789
2021-04-22,86.02933502197266
2021-04-23,84.0425033569336
2021-04-26,82.61235809326172
2021-04-27,81.36457061767578
2021-04-28,81.00944519042969
2021-04-29,82.5259780883789
2021-04-30,82.29562377929688
2021-05-03,83.93692016601562
2021-05-04,85.8277587890625
2021-05-05,84.74315643310547
2021-05-06,84.9255599975586
2021-05-07,83.917724609375
2021-05-10,85.79899597167969
2021-05-11,84.55120086669922
2021-05-12,83.88893127441406
2021-05-13,85.32610321044922
2021-05-14,85.23946380615234
2021-05-17,84.98918151855469
2021-05-18,84.55602264404297
2021-05-19,84.42125701904297
2021-05-20,84.11321258544922
2021-05-21,83.9303207397461
2021-05-24,83.93994903564453
2021-05-25,83.66080474853516
2021-05-26,83.42013549804688
2021-05-27,82.12059783935547
2021-05-28,82.52490234375
2021-06-01,81.69706726074219
2021-06-02,81.91845703125
2021-06-03,82.98695373535156
2021-06-04,83.23724365234375
2021-06-07,82.8040542602539
2021-06-08,81.94733428955078
2021-06-09,81.37938690185547
2021-06-10,81.56229400634766
2021-06-11,81.5238037109375
2021-06-14,81.37938690185547
2021-06-15,82.00508880615234
2021-06-16,81.09061431884766
2021-06-17,82.2649917602539
2021-06-18,80.55154418945312
2021-06-21,80.81145477294922
2021-06-22,80.80182647705078
2021-06-23,79.94510650634766
2021-06-24,80.07022857666016
2021-06-25,81.08099365234375
2021-06-28,81.87995910644531
2021-06-29,81.76443481445312
2021-06-30,82.03396606445312
2021-07-01,81.72593688964844
2021-07-02,82.08209991455078
2021-07-06,82.32274627685547
2021-07-07,83.39125061035156
2021-07-08,83.2757568359375
2021-07-09,83.72817993164062
2021-07-12,83.28536987304688
2021-07-13,82.81369018554688
2021-07-14,82.7463150024414
2021-07-15,83.22761535644531
2021-07-16,84.06507873535156
2021-07-19,84.23836517333984
2021-07-20,83.73780059814453
2021-07-21,81.76443481445312
2021-07-22,81.9762191772461
2021-07-23,83.24685668945312
2021-07-26,83.20836639404297
2021-07-27,83.79556274414062
