,LNT
2021-08-18,55.143341064453125
2021-08-19,55.197208404541016
2021-08-20,55.825679779052734
2021-08-23,54.73933410644531
2021-08-24,54.46101379394531
2021-08-25,54.37123489379883
2021-08-26,54.39815902709961
2021-08-27,54.62260818481445
2021-08-30,54.667503356933594
2021-08-31,54.577720642089844
2021-09-01,55.340850830078125
2021-09-02,55.708961486816406
2021-09-03,55.188232421875
2021-09-07,53.644004821777344
2021-09-08,54.838077545166016
2021-09-09,54.496917724609375
2021-09-10,53.661956787109375
2021-09-13,53.35670471191406
2021-09-14,53.2220344543457
2021-09-15,53.21305465698242
2021-09-16,52.65641403198242
2021-09-17,51.92021560668945
2021-09-20,51.98305892944336
2021-09-21,51.64189529418945
2021-09-22,51.570068359375
2021-09-23,51.39949035644531
2021-09-24,51.27378463745117
2021-09-27,50.456783294677734
2021-09-28,50.10663986206055
2021-09-29,50.95058059692383
2021-09-30,50.25926971435547
2021-10-01,50.07970428466797
2021-10-04,51.013427734375
2021-10-05,50.64532470703125
2021-10-06,51.246856689453125
2021-10-07,50.86977005004883
2021-10-08,50.24131393432617
2021-10-11,49.07416534423828
2021-10-12,49.37043380737305
2021-10-13,49.79240417480469
2021-10-14,50.402915954589844
2021-10-15,50.07072448730469
2021-10-18,49.675689697265625
2021-10-19,49.9809455871582
2021-10-20,50.681236267089844
2021-10-21,50.95058059692383
2021-10-22,51.51620101928711
2021-10-25,50.72612762451172
2021-10-26,51.00444793701172
2021-10-27,50.735103607177734
2021-10-28,51.0313835144043
2021-10-29,51.151641845703125
2021-11-01,51.40482711791992
2021-11-02,51.612796783447266
2021-11-03,51.02505111694336
2021-11-04,50.31977081298828
2021-11-05,51.01600646972656
2021-11-08,49.98519515991211
2021-11-09,50.1208381652832
2021-11-10,50.70857620239258
2021-11-11,50.012332916259766
2021-11-12,49.99424362182617
2021-11-15,50.853248596191406
2021-11-16,50.627197265625
2021-11-17,50.73570251464844
2021-11-18,49.958072662353516
2021-11-19,51.3505744934082
2021-11-22,52.32712936401367
