,SJM
2020-03-13,89.72598266601562
2020-03-16,93.89666748046875
2020-03-17,101.96808624267578
2020-03-18,103.49180603027344
2020-03-19,94.92407989501953
2020-03-20,90.701171875
2020-03-23,83.40467834472656
2020-03-24,92.05948638916016
2020-03-25,91.58928680419922
2020-03-26,90.09168243408203
2020-03-27,89.70856475830078
2020-03-30,96.32591247558594
2020-03-31,96.64808654785156
2020-04-01,95.42909240722656
2020-04-02,96.0037612915039
2020-04-03,97.80610656738281
2020-04-06,100.29632568359375
2020-04-07,99.15570068359375
2020-04-08,99.3733901977539
2020-04-09,98.17179870605469
2020-04-13,96.0037612915039
2020-04-14,98.42430877685547
2020-04-15,100.47919464111328
2020-04-16,105.46829986572266
2020-04-17,105.86012268066406
2020-04-20,105.89495849609375
2020-04-21,102.18574523925781
2020-04-22,103.2305908203125
2020-04-23,101.70687103271484
2020-04-24,102.56886291503906
2020-04-27,105.22450256347656
2020-04-28,103.30025482177734
2020-04-29,99.42561340332031
2020-04-30,100.05252075195312
2020-05-01,100.574951171875
2020-05-04,100.1221694946289
2020-05-05,101.0190200805664
2020-05-06,99.39080047607422
2020-05-07,98.8509750366211
2020-05-08,101.07125091552734
2020-05-11,101.78524017333984
2020-05-12,102.7256088256836
2020-05-13,102.90843200683594
2020-05-14,100.06619262695312
2020-05-15,100.64518737792969
2020-05-18,100.00479125976562
2020-05-19,96.96955108642578
2020-05-20,96.68006896972656
2020-05-21,94.6536636352539
2020-05-22,95.23262786865234
