,AIZ
2019-03-05,92.66859436035156
2019-03-06,90.83694458007812
2019-03-07,90.10070037841797
2019-03-08,89.75053405761719
2019-03-11,90.5226821899414
2019-03-12,90.69329071044922
2019-03-13,90.93570709228516
2019-03-14,88.17028045654297
2019-03-15,88.64615631103516
2019-03-18,89.51708221435547
2019-03-19,87.09285736083984
2019-03-20,84.92001342773438
2019-03-21,86.08724975585938
2019-03-22,84.90206909179688
2019-03-25,84.90206909179688
2019-03-26,85.62933349609375
2019-03-27,85.28813934326172
2019-03-28,85.09061431884766
2019-03-29,85.21631622314453
2019-04-01,86.32965850830078
2019-04-02,85.70116424560547
2019-04-03,85.70116424560547
2019-04-04,86.11419677734375
2019-04-05,86.07830047607422
2019-04-08,85.68318939208984
2019-04-09,84.67760467529297
2019-04-10,84.82124328613281
2019-04-11,85.69217681884766
2019-04-12,86.05133819580078
2019-04-15,85.24324798583984
2019-04-16,85.49467468261719
2019-04-17,84.45313262939453
2019-04-18,83.70790100097656
2019-04-22,82.59455108642578
2019-04-23,83.55525970458984
2019-04-24,83.36670684814453
2019-04-25,82.88187408447266
2019-04-26,83.95929718017578
2019-04-29,84.7135238647461
2019-04-30,85.29710388183594
2019-05-01,84.51597595214844
2019-05-02,84.7763671875
2019-05-03,84.92001342773438
2019-05-06,84.36333465576172
2019-05-07,86.3565902709961
2019-05-08,86.38353729248047
2019-05-09,85.85379791259766
2019-05-10,87.27240753173828
2019-05-13,85.00081634521484
2019-05-14,85.98847198486328
2019-05-15,85.88072967529297
2019-05-16,86.38353729248047
2019-05-17,85.06368255615234
2019-05-20,86.26681518554688
2019-05-21,89.47221374511719
2019-05-22,90.0198974609375
2019-05-23,89.97501373291016
2019-05-24,91.09504699707031
2019-05-28,90.93244934082031
2019-05-29,91.1312026977539
2019-05-30,91.04988861083984
2019-05-31,90.2911376953125
2019-06-03,91.74539947509766
2019-06-04,93.67842102050781
2019-06-05,93.95843505859375
