,MRK
2021-10-12,72.33304595947266
2021-10-13,71.75141143798828
2021-10-14,71.18793487548828
2021-10-15,71.18793487548828
2021-10-18,70.11553192138672
2021-10-19,72.2421646118164
2021-10-20,73.67810821533203
2021-10-21,73.76898956298828
2021-10-22,73.75080108642578
2021-10-25,74.21430969238281
2021-10-26,74.75050354003906
2021-10-27,74.10525512695312
2021-10-28,78.65845489501953
2021-10-29,80.02167510986328
2021-11-01,79.830810546875
2021-11-02,80.90322875976562
2021-11-03,80.59423828125
2021-11-04,82.28463745117188
2021-11-05,74.16886901855469
2021-11-08,75.14131164550781
2021-11-09,75.17765045166016
2021-11-10,76.35002899169922
2021-11-11,76.359130859375
2021-11-12,76.34095001220703
2021-11-15,76.05921173095703
2021-11-16,76.44091796875
2021-11-17,75.06859588623047
2021-11-18,75.47757720947266
2021-11-19,73.34182739257812
2021-11-22,74.19611358642578
2021-11-23,75.2503662109375
2021-11-24,74.77777862548828
2021-11-26,71.9422378540039
2021-11-29,68.06159210205078
2021-11-30,68.07977294921875
2021-12-01,67.65261840820312
2021-12-02,67.15277099609375
2021-12-03,66.65292358398438
2021-12-06,66.72561645507812
2021-12-07,65.68956756591797
2021-12-08,66.5347671508789
2021-12-09,66.2166748046875
2021-12-10,65.99857330322266
2021-12-13,66.72561645507812
2021-12-14,67.6338882446289
2021-12-15,69.07428741455078
2021-12-16,69.64309692382812
2021-12-17,69.44125366210938
2021-12-20,70.10182189941406
2021-12-21,69.30364227294922
2021-12-22,69.87245178222656
2021-12-23,69.47795104980469
2021-12-27,70.24859619140625
2021-12-28,70.46878051757812
2021-12-29,70.59722900390625
2021-12-30,70.77154541015625
2021-12-31,70.31282806396484
2022-01-03,70.52384185791016
2022-01-04,70.65229034423828
2022-01-05,72.36790466308594
2022-01-06,72.32202911376953
2022-01-07,73.6706771850586
2022-01-10,75.56976318359375
2022-01-11,74.92756652832031
2022-01-12,74.49637603759766
2022-01-13,74.60646057128906
2022-01-14,74.6614990234375
2022-01-18,74.80831146240234
2022-01-19,74.57893371582031
2022-01-20,74.08353424072266
2022-01-21,73.37709045410156
2022-01-24,72.32202911376953
2022-01-25,72.90000915527344
2022-01-26,72.60643005371094
2022-01-27,73.92755126953125
2022-01-28,74.22113037109375
2022-01-31,74.75325775146484
2022-02-01,75.15692901611328
2022-02-02,75.23948669433594
2022-02-03,72.48717498779297
2022-02-04,72.0743179321289
2022-02-07,71.17522430419922
2022-02-08,70.5605239868164
2022-02-09,70.21190643310547
2022-02-10,70.23943328857422
2022-02-11,70.31282806396484
2022-02-14,70.15687561035156
2022-02-15,71.38623046875
2022-02-16,70.8449478149414
2022-02-17,70.05593872070312
2022-02-18,70.06512451171875
2022-02-22,69.67977905273438
2022-02-23,69.5788803100586
2022-02-24,67.44122314453125
2022-02-25,70.01924896240234
2022-02-28,70.25778198242188
2022-03-01,70.03759002685547
2022-03-02,70.34034729003906
2022-03-03,70.78072357177734
2022-03-04,71.40457916259766
2022-03-07,71.31282806396484
2022-03-08,70.59722900390625
2022-03-09,71.36788177490234
2022-03-10,71.45962524414062
2022-03-11,71.799072265625
2022-03-14,71.99346160888672
2022-03-15,72.78948211669922
2022-03-16,72.30817413330078
2022-03-17,73.06716918945312
2022-03-18,73.22451782226562
2022-03-21,73.17823028564453
2022-03-22,73.40038299560547
2022-03-23,73.79837799072266
2022-03-24,74.42780303955078
2022-03-25,75.2885971069336
2022-03-28,75.16828918457031
2022-03-29,75.5014877319336
2022-03-30,76.2697525024414
2022-03-31,75.94579315185547
2022-04-01,77.3064193725586
2022-04-04,77.27867126464844
2022-04-05,77.4915542602539
2022-04-06,78.64855194091797
2022-04-07,80.34241485595703
2022-04-08,81.15693664550781
2022-04-11,80.18505859375
2022-04-12,79.25944519042969
2022-04-13,79.72225952148438
2022-04-14,80.4442138671875
2022-04-18,79.66670227050781
2022-04-19,79.40755462646484
2022-04-20,80.02769470214844
2022-04-21,79.81481170654297
2022-04-22,78.29682159423828
2022-04-25,79.08358001708984
2022-04-26,78.19501495361328
2022-04-27,78.13021087646484
2022-04-28,81.98999786376953
2022-04-29,82.091796875
2022-05-02,81.1291732788086
2022-05-03,80.62007904052734
2022-05-04,81.93444061279297
2022-05-05,81.46239471435547
2022-05-06,81.8141098022461
2022-05-09,81.11991119384766
2022-05-10,81.27726745605469
2022-05-11,82.55459594726562
2022-05-12,84.07259368896484
2022-05-13,83.68383026123047
2022-05-16,85.45173645019531
2022-05-17,86.08114624023438
2022-05-18,85.24811553955078
2022-05-19,85.23884582519531
2022-05-20,86.59024047851562
2022-05-23,86.84940338134766
2022-05-24,87.59912872314453
2022-05-25,86.77535247802734
2022-05-26,85.4424819946289
2022-05-27,86.15520477294922
2022-05-31,85.18331146240234
2022-06-01,84.35952758789062
2022-06-02,83.30432891845703
2022-06-03,83.22105407714844
2022-06-06,83.15623474121094
2022-06-07,83.7486343383789
