,UHS
2016-10-12,117.57723236083984
2016-10-13,120.2983169555664
2016-10-14,119.0342788696289
2016-10-17,119.1307601928711
2016-10-18,121.43697357177734
2016-10-19,119.49742889404297
2016-10-20,120.1246566772461
2016-10-21,119.22723388671875
2016-10-24,120.0571060180664
2016-10-25,117.33596801757812
2016-10-26,114.91400909423828
2016-10-27,118.05970764160156
2016-10-28,116.30352783203125
2016-10-31,116.47718048095703
2016-11-01,116.0719223022461
2016-11-02,116.66053009033203
2016-11-03,114.48944091796875
2016-11-04,116.12982177734375
2016-11-07,120.5106201171875
2016-11-08,123.56947326660156
2016-11-09,115.07804107666016
2016-11-10,116.75701141357422
2016-11-11,114.5762710571289
2016-11-14,116.90174865722656
2016-11-15,118.10794830322266
2016-11-16,115.88858795166016
2016-11-17,119.54568481445312
2016-11-18,118.35883331298828
2016-11-21,118.74476623535156
2016-11-22,117.0271987915039
2016-11-23,117.79914855957031
2016-11-25,118.8509292602539
2016-11-28,118.44568634033203
2016-11-29,118.95750427246094
2016-11-30,118.80297088623047
2016-12-01,119.83629608154297
2016-12-02,120.37710571289062
2016-12-05,120.50264739990234
2016-12-06,122.03815460205078
2016-12-07,107.54267883300781
2016-12-08,108.62428283691406
2016-12-09,108.22834777832031
2016-12-12,108.14142608642578
2016-12-13,105.25390625
2016-12-14,98.0689468383789
2016-12-15,104.84830474853516
2016-12-16,103.4094009399414
2016-12-19,102.9844741821289
2016-12-20,102.72372436523438
2016-12-21,103.09069061279297
2016-12-22,103.15829467773438
2016-12-23,104.230224609375
2016-12-27,103.4963150024414
2016-12-28,102.50161743164062
2016-12-29,102.75271606445312
2016-12-30,102.73338317871094
2017-01-03,103.05205535888672
2017-01-04,105.08008575439453
2017-01-05,105.04144287109375
2017-01-06,104.7903823852539
2017-01-09,107.71652221679688
2017-01-10,108.48908996582031
2017-01-11,108.28628540039062
2017-01-12,108.54703521728516
2017-01-13,108.80777740478516
2017-01-17,110.38187408447266
2017-01-18,109.70588684082031
2017-01-19,107.91932678222656
2017-01-20,108.88501739501953
2017-01-23,107.61028289794922
2017-01-24,108.38286590576172
2017-01-25,110.09217834472656
2017-01-26,109.2326889038086
2017-01-27,109.05883026123047
2017-01-30,108.88501739501953
2017-01-31,108.76913452148438
2017-02-01,110.03425598144531
2017-02-02,108.88501739501953
2017-02-03,109.94731903076172
2017-02-06,109.02987670898438
2017-02-07,109.5030746459961
2017-02-08,109.87970733642578
2017-02-09,112.28433990478516
2017-02-10,112.45820617675781
