,GRMN
2017-10-16,45.98480987548828
2017-10-17,46.02650451660156
2017-10-18,45.92644119262695
2017-10-19,46.23495101928711
2017-10-20,46.526798248291016
2017-10-23,46.526798248291016
2017-10-24,47.03541946411133
2017-10-25,47.15214157104492
2017-10-26,47.08544158935547
2017-10-27,46.93536376953125
2017-10-30,47.102115631103516
2017-10-31,47.202171325683594
2017-11-01,49.862037658691406
2017-11-02,49.0782585144043
2017-11-03,49.65358352661133
2017-11-06,49.445133209228516
2017-11-07,49.37009048461914
2017-11-08,49.736968994140625
2017-11-09,49.79534149169922
2017-11-10,50.72087860107422
2017-11-13,50.51241683959961
2017-11-14,50.65416717529297
2017-11-15,50.270606994628906
2017-11-16,50.65416717529297
2017-11-17,51.23783874511719
2017-11-20,51.29619216918945
2017-11-21,52.10499954223633
2017-11-22,51.30453109741211
2017-11-24,51.521339416503906
2017-11-27,51.4463005065918
2017-11-28,52.46352767944336
2017-11-29,52.02996063232422
2017-11-30,51.76313400268555
2017-12-01,51.05440139770508
2017-12-04,50.737552642822266
2017-12-05,51.29619216918945
2017-12-06,51.24617385864258
2017-12-07,51.087745666503906
2017-12-08,51.921566009521484
2017-12-11,51.6630859375
2017-12-12,50.971012115478516
2017-12-13,50.72087860107422
2017-12-14,49.99772644042969
2017-12-15,49.072776794433594
2017-12-18,49.29981231689453
2017-12-19,49.257774353027344
2017-12-20,49.4427604675293
2017-12-21,49.753875732421875
2017-12-22,49.76228713989258
2017-12-26,49.83797073364258
2017-12-27,49.99772644042969
2017-12-28,50.25838851928711
2017-12-29,50.09022521972656
2018-01-02,50.064998626708984
2018-01-03,50.6788215637207
2018-01-04,50.6788215637207
2018-01-05,50.2331657409668
2018-01-08,50.73768997192383
2018-01-09,50.32565689086914
2018-01-10,50.84700393676758
2018-01-11,51.645816802978516
2018-01-12,52.099891662597656
2018-01-16,51.671051025390625
2018-01-17,53.008026123046875
2018-01-18,53.176185607910156
2018-01-19,53.705936431884766
2018-01-22,53.84888458251953
2018-01-23,54.25250244140625
2018-01-24,53.9918327331543
2018-01-25,53.60503005981445
2018-01-26,54.30295181274414
2018-01-29,53.57139587402344
2018-01-30,53.03324508666992
2018-01-31,52.92393112182617
2018-02-01,52.70530319213867
2018-02-02,52.478275299072266
2018-02-05,51.11608123779297
2018-02-06,52.39419937133789
2018-02-07,53.04166793823242
2018-02-08,51.401973724365234
2018-02-09,51.47764587402344
2018-02-12,52.10829544067383
2018-02-13,52.49509048461914
2018-02-14,53.81525802612305
2018-02-15,54.54680633544922
2018-02-16,54.83268737792969
2018-02-20,54.53839874267578
2018-02-21,52.02420425415039
2018-02-22,50.77972412109375
2018-02-23,50.74609375
2018-02-26,50.998355865478516
2018-02-27,50.63679122924805
2018-02-28,49.81273651123047
2018-03-01,49.49321365356445
2018-03-02,49.96409225463867
2018-03-05,50.11544418334961
2018-03-06,50.29203796386719
2018-03-07,50.443389892578125
2018-03-08,50.35930252075195
2018-03-09,51.28424835205078
2018-03-12,51.301063537597656
2018-03-13,51.41878890991211
2018-03-14,51.09657669067383
2018-03-15,50.604774475097656
2018-03-16,50.969383239746094
2018-03-19,50.74044418334961
